ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,name
000858.SZ,20230526,168.2,171.89,168.0,170.1,168.2,1.9,1.1296,122874.8,2088300.565,五粮液
000596.SZ,20230526,266.96,268.8,261.0,262.76,266.96,-4.2,-1.5733,9913.56,260979.09,古井贡酒
000568.SZ,20230526,217.5,221.0,212.3,214.13,216.6,-2.47,-1.1404,54022.06,1162884.918,泸州老窖
600809.SH,20230529,217.42,218.49,213.49,214.11,217.36,-3.25,-1.4952,34521.86,741841.985,山西汾酒
600519.SH,20230529,1697.0,1698.35,1678.0,1689.0,1690.56,-1.56,-0.0923,17771.41,2998147.159,贵州茅台
002304.SZ,20230529,138.72,139.56,136.1,137.56,138.66,-1.1,-0.7933,35233.82,484109.004,洋河股份
000858.SZ,20230529,170.94,171.85,167.58,168.26,170.1,-1.84,-1.0817,129768.8,2191774.954,五粮液
000596.SZ,20230529,262.81,265.0,256.0,259.61,262.76,-3.15,-1.1988,16181.32,418709.499,古井贡酒
000568.SZ,20230529,214.11,216.19,212.36,213.96,214.13,-0.17,-0.0794,55301.68,1184015.235,泸州老窖
600809.SH,20230530,215.0,215.5,209.47,210.69,214.11,-3.42,-1.5973,66549.0,1405752.993,山西汾酒
600519.SH,20230530,1689.0,1698.89,1658.56,1668.29,1689.0,-20.71,-1.2262,26453.4,4424706.688,贵州茅台
002304.SZ,20230530,138.26,138.58,135.6,136.79,137.56,-0.77,-0.5598,31275.01,427659.164,洋河股份
000858.SZ,20230530,168.0,169.45,163.5,165.17,168.26,-3.09,-1.8364,183603.34,3039522.846,五粮液
000596.SZ,20230530,258.51,262.5,257.08,259.57,259.61,-0.04,-0.0154,11588.29,300493.116,古井贡酒
000568.SZ,20230530,214.0,215.88,208.0,209.76,213.96,-4.2,-1.963,62349.2,1313240.329,泸州老窖
600809.SH,20230531,210.5,211.8,207.03,209.83,210.69,-0.86,-0.4082,59560.85,1243658.874,山西汾酒
600519.SH,20230531,1661.01,1665.72,1626.67,1628.9,1668.29,-39.39,-2.3611,36956.97,6053737.281,贵州茅台
002304.SZ,20230531,136.51,136.78,133.5,134.24,136.79,-2.55,-1.8642,64263.18,862862.115,洋河股份
000858.SZ,20230531,165.0,165.13,160.02,161.18,165.17,-3.99,-2.4157,213448.41,3448000.885,五粮液
000596.SZ,20230531,256.1,257.26,250.02,251.92,259.57,-7.65,-2.9472,17072.21,430052.805,古井贡酒
000568.SZ,20230531,207.36,208.99,201.92,204.03,209.76,-5.73,-2.7317,96280.29,1964195.353,泸州老窖
600809.SH,20230601,210.79,219.99,210.0,212.41,209.83,2.58,1.2296,69877.86,1500623.041,山西汾酒
600519.SH,20230601,1618.0,1674.99,1618.0,1635.92,1628.9,7.02,0.431,28645.25,4708722.933,贵州茅台
